tick,pop_size,n_incarcerated,n_current_smokers,n_AUD,n_alcohol_abstainers,n_exits,n_entries
1,5000,0,0,0,0,0,0
2,5000,0,557,288,391,0,0
3,5000,0,568,292,396,0,0
4,5000,0,560,296,409,0,0
5,5000,0,577,297,402,0,0
6,5000,0,582,299,405,0,0
7,5000,0,581,297,394,0,0
8,5000,0,582,297,396,0,0
9,5000,0,581,294,396,0,0
10,5000,0,584,294,392,0,0
11,5000,0,590,297,390,0,0
12,5000,0,590,300,391,0,0
13,5000,0,601,303,388,0,0
14,5000,0,609,302,391,0,0
15,5000,0,610,298,393,0,0
16,5000,0,597,296,397,0,0
17,5000,0,606,292,396,0,0
18,5000,0,610,291,398,0,0
19,5000,0,622,290,398,0,0
20,5000,0,622,293,401,0,0
21,5000,0,612,288,405,0,0
22,5000,0,609,288,401,0,0
23,5000,0,619,293,404,0,0
24,5000,0,625,298,404,0,0
25,5000,0,638,305,402,0,0
26,5000,0,643,305,401,0,0
27,5000,0,657,306,407,0,0
28,5000,0,666,303,412,0,0
29,5000,0,681,306,406,0,0
30,5000,0,687,308,409,0,0
31,5000,0,677,306,411,0,0
32,5000,0,678,296,409,0,0
33,5000,0,672,297,404,0,0
34,5000,0,666,295,404,0,0
35,5000,0,669,297,405,0,0
36,5000,0,665,298,408,0,0
37,5000,0,674,299,408,0,0
38,5000,0,675,298,411,0,0
39,5000,0,679,300,421,0,0
40,5000,0,678,302,421,0,0
41,5000,0,668,300,420,0,0
42,5000,0,675,304,418,0,0
43,5000,0,671,304,419,0,0
44,5000,0,675,295,425,0,0
45,5000,0,667,294,424,0,0
46,5000,0,660,295,420,0,0
47,5000,0,655,296,414,0,0
48,5000,0,642,293,416,0,0
49,5000,0,637,294,423,0,0
50,5000,0,628,296,421,0,0
51,5000,0,637,291,424,0,0
52,5000,0,631,297,422,0,0
53,5000,0,634,299,428,0,0
54,5000,0,642,303,429,0,0
55,5000,0,652,301,425,0,0
56,5000,0,650,301,421,0,0
57,5000,0,655,306,421,0,0
58,5000,0,665,308,424,0,0
59,5000,0,673,307,420,0,0
60,5000,0,678,308,419,0,0
61,5000,0,680,308,416,0,0
62,5000,0,684,306,419,0,0
63,5000,0,680,309,416,0,0
64,5000,0,692,314,417,0,0
65,5000,0,705,314,415,0,0
66,5000,0,700,318,413,0,0
67,5000,0,694,321,417,0,0
68,5000,0,694,321,418,0,0
69,5000,0,696,320,418,0,0
70,5000,0,688,320,420,0,0
71,5000,0,692,320,420,0,0
72,5000,0,696,322,420,0,0
73,5000,0,702,324,417,0,0
74,5000,0,713,323,418,0,0
75,5000,0,700,326,415,0,0
76,5000,0,679,323,414,0,0
77,5000,0,680,325,417,0,0
78,5000,0,678,322,415,0,0
79,5000,0,680,324,415,0,0
80,5000,0,680,325,416,0,0
81,5000,0,684,325,418,0,0
82,5000,0,679,326,416,0,0
83,5000,1,682,329,420,0,0
84,5000,1,681,332,417,0,0
85,5000,1,677,333,413,0,0
86,5000,1,675,328,412,0,0
87,5000,1,680,331,407,0,0
88,5000,1,681,326,406,0,0
89,5000,1,688,328,403,0,0
90,5000,1,689,321,404,0,0
91,5000,1,684,318,404,0,0
92,5000,1,691,315,404,0,0
93,5000,1,693,314,409,0,0
94,5000,1,707,318,409,0,0
95,5000,2,708,316,413,0,0
96,5000,2,703,318,415,0,0
97,5000,2,693,316,410,0,0
